mean,year,.fitted,.lower,.upper,.resid,.hat,.sigma,.cooksd,.std.resid
9.79485813776652,1982,10.152217101109066,9.860769559838948,10.443664642379185,-0.3573589633425467,0.09191583610186307,0.47794661110522474,0.03145951910809322,-0.7884223329840496
10.65332261721293,1983,10.187938685583795,9.90695635056372,10.46892102060387,0.4653839316291357,0.08543337925073782,0.47535960053863774,0.04889047339457837,1.0231068678622741
10.825780808925629,1984,10.223660270058538,9.952994413862706,10.49432612625437,0.6021205388670907,0.07927504524214843,0.47110759830847404,0.07492868935100369,1.3192763393964444
10.693487266699472,1985,10.259381854533281,9.998866080225726,10.519897628840836,0.4341054121661916,0.07344083407611636,0.4762603536584729,0.035627575621817835,0.9481475150438299
10.93510333697001,1986,10.29510343900801,10.044551126203157,10.545655751812863,0.6399998979620012,0.0679307457526416,0.46986263910707016,0.0707838873340219,1.3937122030991533
10.457437177499136,1987,10.330825023482753,10.090026385453777,10.571623661511728,0.12661215401638337,0.0627447802717242,0.48124873511620675,0.002530563528499813,0.27495634911880446
10.26907843351364,1988,10.366546607957495,10.135265314859002,10.59782790105599,-0.097468174443855915,0.057882937633364134,0.48143571472508223,0.001369213182805977,-0.21111917805202823
10.5746089220047,1989,10.402268192432224,10.180237521501457,10.624298863362991,0.17234072957247548,0.05334521783756141,0.4808683980726782,0.003907443107588563,0.3723997661894891
10.658784627914429,1990,10.437989776906967,10.224908264413335,10.6510712894006,0.22079485100746155,0.04913162088431601,0.48033770062236464,0.005854674389727162,0.47604282936372594
11.185471892356873,1991,10.47371136138171,10.26923795740179,10.67818476536163,0.7117605309751625,0.04524214677362796,0.46736874829538927,0.05556855599686558,1.53145616682232
10.225551088651022,1992,10.509432945856439,10.313181717224234,10.705684174488644,-0.2838818572054169,0.04167679550549723,0.47946079774058875,0.008082582922038053,-0.6096757550890178
10.00486926237742,1993,10.545154530331182,10.356689025847952,10.733620034814411,-0.5402852679537613,0.03843556707992384,0.4735555898800229,0.02681805919979488,-1.1583804500505384
10.254850924015043,1994,10.580876114805925,10.399703606249744,10.762048623362105,-0.3260251907908813,0.035518461496907794,0.47876203790017696,0.008969602675713112,-0.6979454611095601
10.638704180717468,1995,10.616597699280653,10.44216364535507,10.791031753206237,0.022106481436814818,0.03292547875644908,0.48169071720383283,3.802384632178889e-5,0.04726143916558355
10.328184008598328,1996,10.652319283755396,10.48400252785379,10.820636039657003,-0.32413527515706875,0.030656618858547702,0.47881078193948196,0.007575758696508686,-0.6921572331624024
10.113678713639578,1997,10.68804086823014,10.525150256771033,10.850931479689246,-0.5743621545905615,0.028711881803203658,0.4725781328767862,0.02218920384674224,-1.225262289065607
10.708618899186453,1998,10.723762452704882,10.565535709953362,10.881989195456402,-0.015143553518429442,0.027091267590416954,0.48169789331425933,1.4505920702672572e-5,-0.03227817970032117
10.59820431470871,1999,10.759484037179611,10.605089792539655,10.913878281819567,-0.16127972247090128,0.025794776220187582,0.4809930273907277,0.0015624098707038173,-0.3435356637759144
11.00002940495809,2000,10.795205621654354,10.64374937955756,10.946661863751148,0.20482378330373585,0.02482240769251555,0.4805578118575883,0.00242014745421258,0.4360696046278442
10.626134912172953,2001,10.830927206129097,10.681461713127614,10.98039269913058,-0.20479229395614418,0.024174162007400853,0.4805589269307684,0.0023530903663545482,-0.435857720508204
11.184817592302958,2002,10.866648790603826,10.718188682284374,11.015108898923277,0.318168801699132,0.02385003916484349,0.4789361212370056,0.0055998420998986,0.6770435589572957
10.194889227549234,2003,10.902370375078569,10.753910266759117,11.05083048339802,-0.7074811475293341,0.023850039164843465,0.4678581413228285,0.027687920532559702,-1.5054761857871277
9.88756521542867,2004,10.938091959553311,10.788626466551829,11.087557452554794,-1.0505267441246406,0.024174162007400777,0.4505999179091312,0.061919239054448766,-2.235827252978204
10.044371624787647,2005,10.97381354402804,10.822357301931246,11.125269786124834,-0.9294419192403929,0.024822407692515425,0.45752023992123214,0.04983397979252032,-1.9787808022601088
10.940874497095743,2006,11.009535128502783,10.855140883862829,11.163929373142738,-0.06866063140703993,0.02579477622018741,0.4815753572452134,2.831724673465317e-4,-0.146251340368886
10.781572659810385,2007,11.045256712977526,10.88702997022601,11.203483455729042,-0.2636840531671414,0.027091267590416728,0.47979835246790564,0.004398022401020882,-0.5620372551184853
10.711684226989746,2008,11.080978297452255,10.91808768599315,11.24386890891136,-0.36929407046250873,0.02871188180320338,0.47795257079124664,0.009173071041376307,-0.7877992909122169
10.698330322901407,2009,11.116699881926998,10.948383126025394,11.285016637828601,-0.4183695590255905,0.030656618858547376,0.47687413152312996,0.012620997864133383,-0.8933847643524743
11.40016484260559,2010,11.15242146640174,10.97798741247616,11.326855520327321,0.24774337620385012,0.0329254787564487,0.4800120411416824,0.004775522568543576,0.5296504799557584
10.906030158201853,2011,11.18814305087647,11.006970542320293,11.369315559432646,-0.2821128926746166,0.035518461496907364,0.4795029117020359,0.00671609388034826,-0.60393926151871
12.495989878972372,2012,11.223864635351212,11.035399130867987,11.412330139834438,1.2721252436211596,0.03843556707992336,0.4346094027842733,0.14867598863963286,2.7274573260298705
11.639822721481323,2013,11.259586219825955,11.063334991193754,11.455837448458157,0.38023650165536793,0.04167679550549671,0.4776719666070362,0.014500484202085365,0.8166107497718155
11.01015841960907,2014,11.295307804300684,11.09083440032077,11.499781208280599,-0.2851493846916142,0.04524214677362738,0.47943219982312596,0.008918795084846831,-0.6135403195977723
11.248202820618948,2015,11.331029388775427,11.1179478762818,11.544110901269054,-0.08282656815647904,0.049131620884315386,0.4815121096716971,8.238804513419592e-4,-0.17857750609578152
11.894694129625956,2016,11.36675097325017,11.14472030231941,11.58878164418093,0.5279431563757857,0.05334521783756073,0.4738031300996725,0.036668330603959964,1.1407977004821666
11.415027181307474,2017,11.402472557724899,11.17119126462641,11.633753850823387,0.01255462358257553,0.05788293763336341,0.48169971407222806,2.2717095313651312e-5,0.027193715555125897
11.54588504632314,2018,11.438194142199642,11.197395504170672,11.678992780228612,0.10769090412349769,0.06274478027172344,0.4813747288250615,0.0018307308331898112,0.23386615654030427
11.132794459660849,2019,11.473915726674385,11.223363413869537,11.724468039479232,-0.34112126701353596,0.06793074575264078,0.47836990222350095,0.020109079561420894,-0.7428514818320313
11.328638434410095,2020,11.509637311149113,11.249121536841564,11.770153085456663,-0.18099887673901804,0.07344083407611547,0.4807622155851526,0.006193663822229936,-0.3953271035011564
11.818028370539349,2021,11.545358895623856,11.27469303942803,11.816024751819683,0.2726694749154923,0.0792750452421475,0.4795501941112554,0.015365768872735419,0.5974325131119017
12.054898023605348,2022,11.5810804800986,11.30009814507853,11.862062815118668,0.4738175435067493,0.08543337925073685,0.4751259606993368,0.05067849948018994,1.0416474440327455
12.268203695615131,2023,11.616802064573328,11.325354523303215,11.90824960584344,0.6514016310418036,0.09191583610188353,0.4691028892574106,0.10452986842870533,1.4371532446022526
