gen_spp,morphology1,motility_adult,group,invasive_gom
Ahnfeltia plicata,Turf,sessile,Algae,no
Alaria esculenta,Canopy,sessile,Algae,no
Anomia simplex,calcareous,sessile,Invertebrate,no
Anurida maritima,soft,motile,Invertebrate,no
Ascophyllum nodosum,Canopy,sessile,Algae,no
Asterias forbesi,calcareous,motile,Invertebrate,no
Asterias rubens,calcareous,motile,Invertebrate,no
Astyris lunata,calcareous,motile,Invertebrate,
Bangia atropurpurea,Turf,sessile,Algae,
Bonnemaisonia hamifera,Turf,sessile,Algae,yes
Boreochiton ruber,,motile,Invertebrate,
Botrylloides violaceus,soft,sessile,Invertebrate,yes
Botryllus schlosseri,soft,sessile,Invertebrate,no
Bugula neritina,calcareous,sessile,Invertebrate,yes
Cancer borealis,calcareous,motile,Invertebrate,no
Cancer irroratus,calcareous,motile,Invertebrate,no
Carcinus maenas,,motile,Invertebrate,yes
Carcinus maenus,calcareous,motile,Invertebrate,yes
Celleporella hyalina,,sessile,Invertebrate,no
Ceramium virgatum,Turf,sessile,Algae,no
Chondrus crispus,Subcanopy,sessile,Algae,no
Chorda filum,Turf,sessile,Algae,no
Chordaria flagelliformis,Turf,sessile,Algae,no
Cladophora rupestris,,sessile,Algae,
Cladostephus spongiosus,Turf,sessile,Algae,no
Clathromorphum circumscriptum,Turf,sessile,Algae,no
Codium fragile,Subcanopy,sessile,Algae,yes
Colpomenia peregrina,Turf,sessile,Algae,yes
Colus stimpsoni,calcareous,motile,Invertebrate,
Corallina officinalis,Turf,sessile,Algae,no
Crepidula fornicata,calcareous,sessile,Invertebrate,no
Crisia eburnea,,sessile,Invertebrate,no
Cryptosula pallasiana,calcareous,sessile,Invertebrate,no
Cystoclonium purpureum,Subcanopy,sessile,Algae,no
Devaleraea ramentacea,Turf,sessile,Algae,
Diadumene lineata,soft,sessile,Invertebrate,yes
Didemnum vexillum,soft,sessile,Invertebrate,yes
Dumontia concortum,Subcanopy,sessile,Algae,
Dumontia contorta,,sessile,Algae,no
Dynamena pumila,soft,sessile,Invertebrate,no
Elachista fucicola,Turf,sessile,Algae,no
Electra pilosa,calcareous,sessile,Invertebrate,no
Erythrotrichia carnea,Turf,sessile,Algae,
Euthora cristata,Subcanopy,sessile,Algae,no
Flustrellidra hispida,calcareous,sessile,Invertebrate,no
Fucus distichus,Canopy,sessile,Algae,no
Fucus spiralis,Canopy,sessile,Algae,
Fucus vesiculosus,Canopy,sessile,Algae,no
Giffordia granulosa,Turf,sessile,Algae,
Hemigrapsus sanguineus,calcareous,motile,Invertebrate,yes
Henricia sanguinolenta,calcareous,motile,Invertebrate,no
Hiatella arctica,calcareous,sessile,Invertebrate,no
Hildenbrandia rubra,Turf,sessile,Algae,no
Hincksia granulosa,,sessile,Algae,
Hippothoa hyalina,calcareous,sessile,Invertebrate,
Idotea balthica,calcareous,motile,Invertebrate,
Idotea baltica,calcareous,motile,Invertebrate,
Lacuna vincta,calcareous,motile,Invertebrate,no
Leathesia marina,Turf,sessile,Algae,no
Littorina littorea,calcareous,motile,Invertebrate,yes
Littorina obtusata,calcareous,motile,Invertebrate,no
Littorina saxatilis,calcareous,motile,Invertebrate,no
Mastocarpus stellatus,Subcanopy,sessile,Algae,no
Membranipora membranacea,calcareous,sessile,Invertebrate,yes
Metridium senile,soft,sessile,Invertebrate,no
Microporella ciliata,,sessile,Invertebrate,
Micrura affinis,soft,motile,Invertebrate,
Modiolus modiolus,calcareous,sessile,Invertebrate,no
Mya arenaria,calcareous,sessile,Invertebrate,no
Mytilus edulis,calcareous,sessile,Invertebrate,no
Nemalion elmnithoides,,sessile,Algae,
Nemalion helminthoides,Turf,sessile,Algae,
Nucella lapillus,calcareous,motile,Invertebrate,no
Ostrea edulis,calcareous,sessile,Invertebrate,no
Pagurus acadianus,calcareous,motile,Invertebrate,no
Palmaria palmata,Subcanopy,sessile,Algae,no
Petalonia fascia,Subcanopy,sessile,Algae,no
Phymatolithon lenormandii,Turf,sessile,Algae,no
Plumaria plumosa,Turf,sessile,Algae,no
Prasiola stipitata,Turf,sessile,Algae,
Protectocarpus speciosus,Turf,sessile,Algae,
Pterothamnion plumula,,sessile,Algae,
Ptilota serrata,Subcanopy,sessile,Algae,no
Pylaiella littoralis,Turf,sessile,Algae,no
Rhizoclonium tortuosum,Turf,sessile,Algae,
Saccharina latissima,Canopy,sessile,Algae,no
Saccorhiza dermatodea,Canopy,sessile,Algae,no
Schizoporella unicornis,calcareous,sessile,Invertebrate,yes
Scytosiphon lomentaria,Turf,sessile,Algae,no
Semibalanus balanoides,calcareous,sessile,Invertebrate,no
Skeneopsis planorbis,soft,motile,Invertebrate,
Sphacelaria cirrosa,Tuf,sessile,Algae,no
Spongomorpha aeruginosa,Tuf,sessile,Algae,no
Strongylocentrotus droebachiensis,calcareous,motile,Invertebrate,no
Tectura testinalis,calcareous,motile,Invertebrate,
Tectura testudinalis,calcareous,motile,Invertebrate,
Testudinalia testudinalis,,motile,Invertebrate,no
Thelepus cincinnatus,soft,sessile,Invertebrate,
Tonicella rubra,calcareous,motile,Invertebrate,
Ulva intestinalis,Turf,sessile,Algae,no
Ulva lactuca,Turf,sessile,Algae,no
Vertebrata lanosa,Turf,sessile,Algae,no